日期,收盘价
2014/6/23,12.84
2014/6/20,12.38
2014/6/19,12.17
2014/6/18,12.9
2014/6/17,13.59
2014/6/16,13.15
2014/6/13,12.97
2014/6/12,13.26
2014/6/11,12.89
2014/6/10,12.41
2014/6/9,12.07
2014/6/6,12.36
2014/6/5,11.24
2014/6/4,10.98
2014/6/3,11.29
2014/5/30,11.31
2014/5/29,11.67
2014/5/28,11.95
2014/5/27,12
2014/5/26,12.37
2014/5/23,12.35
2014/5/22,11.78
2014/5/21,10.71
2014/5/20,10.21
2014/5/19,10.07
2014/5/16,10.23
2014/5/15,9.43
2014/5/14,9.94
2014/5/13,10
2014/5/12,9.66
2014/5/9,9.5
2014/5/8,10.07
2014/5/7,9.71
2014/5/6,10.04
2014/5/5,10.12
2014/4/30,10.23
2014/4/29,10.42
2014/4/28,10.29
2014/4/25,10.35
2014/4/24,10.88
2014/4/23,11.94
2014/4/22,12.29
2014/4/21,11.59
2014/4/18,11.88
2014/4/17,12.47
2014/4/16,13.31
2014/4/15,12.9
2014/4/14,13.6
2014/4/11,12.68
2014/4/10,12.84
2014/4/9,13.02
2014/4/8,11.84
2014/4/4,11.43
2014/4/3,11.36
2014/4/2,10.33
2014/4/1,9.44
2014/3/27,9.72
2014/3/26,9.26
2014/3/25,9.14
2014/3/24,9.5
2014/3/21,8.64
2014/3/20,8.57
2014/3/19,8.94
2014/3/18,8.32
2014/3/17,7.88
2014/3/14,7.77
2014/3/13,7.97
2014/3/12,8.5
2014/3/11,8.11
2014/3/10,7.37
2014/3/7,7.07
2014/3/6,7.01
2014/3/5,6.37
2014/3/4,6.81
2014/3/3,6.78
2014/2/28,6.58
2014/2/27,6.11
2014/2/26,5.97
2014/2/25,5.98
2014/2/24,5.44
2014/2/21,5.26
2014/2/20,5.19
2014/2/19,5.29
2014/2/18,5.34
2014/2/17,5.26
2014/2/14,5.23
2014/2/13,5.12
2014/2/12,5.34
2014/2/11,4.92
2014/2/10,4.9
2014/2/7,4.76
2014/1/30,4.63
2014/1/29,4.69
2014/1/28,4.64
2014/1/27,4.81
2014/1/24,4.95
2014/1/23,4.95
2014/1/22,4.93
2014/1/21,4.76
2014/1/20,4.73
2014/1/17,4.72
2014/1/16,4.86
2014/1/15,4.78
