日期,IT指数,采矿指数,餐饮指数,地产指数,公共指数,建筑指数,金融指数,科研指数,农林指数,批零指数,商务指数,水电指数,文化指数,运输指数,制造指数,综企指数
2013/3/5,671.334,2391.742,960.071,1360.112,940.71,1380.544,791.62,962.77,759.173,1000.963,980.475,630.732,720.718,785.769,1022.293,489.873
2013/3/6,690.304,2401.35,979.095,1373.63,937.343,1386.396,793.475,969.881,760.615,1022.988,985.628,642.134,742.47,802.416,1040.008,494.879
2013/3/7,673.726,2431.344,970.334,1380.263,920.769,1371.435,783.008,955.614,749.401,1008.914,972.662,631.424,730.685,800.523,1027.21,517.287
2013/3/8,657.621,2421.987,961.9,1360.133,918.168,1364.417,763.328,945.315,740.012,1004.249,967.261,625.664,727.498,795.397,1017.454,509.264
2013/3/11,658.045,2401.725,951.432,1372.786,926.105,1373.894,752.86,946.26,730.246,1008.221,960.589,626.574,721.913,793.386,1018.618,499.563
2013/3/12,635.046,2356.562,930.16,1369.843,913.947,1341.936,738.887,919.898,710.826,980.706,936.962,613.876,693.366,781.7,992.748,507.108
2013/3/13,628.888,2371.26,927.794,1343.805,896.766,1324.374,736.046,905.95,697.928,967.645,931.122,608.226,693.205,773.829,984.295,498.365
2013/3/14,634.71,2368.189,922.969,1337.544,903.747,1350.008,730.406,919.061,696.465,973.743,942.947,609.87,701.124,772.291,989.121,494.264
2013/3/15,641.168,2363.661,931.783,1312.626,912.372,1345.76,741.751,921.068,695.46,977.574,949.231,613.381,712.704,772.688,993.026,491.43
2013/3/18,638.438,2323.538,933.364,1321.254,926.708,1292.504,725.866,908.586,688.811,966.517,941.28,618.943,716.85,758.691,979.602,477.082
2013/3/19,636.333,2320.978,935.099,1354.902,931.98,1310.749,734.815,911.678,687.313,972.157,941.584,622.409,707.804,763.992,978.104,492.043
2013/3/20,655.913,2379.406,950.464,1386.649,957.329,1363.094,775.066,941.347,701.046,991.285,954.736,639.626,723.814,780.995,1004.2,500.561
2013/3/21,668.294,2378.553,950.832,1373.928,970.166,1370.091,771.991,954.098,704.447,997.976,961.626,650.923,730.057,784.28,1016.464,505.998
